slot_id,tip_texto,tema,subtema,dor_associada,novidade_0a10,impacto_0a10,evidencia_0a10,conforto_publico_0a10,risco_cliche_0a10,score_total,prioridade,uso_ideal,status,fonte_ids,fonte_principal,trecho_prova,observacoes
D01,Percepcao de presenca (with-it-ness),Kounin,Gestao preventiva,"O professor escaneia a sala o tempo todo, corrige desvios cedo e transmite a sensacao de que ve tudo.",,,,,,,prevenção,base de sala,importada,,Gemini deep research / NotebookLM synthesis,Pratica observacional de alta presenca do docente,
D02,Sobreposicao (overlapping),Kounin,Gestao preventiva,O professor administra dois eventos ao mesmo tempo sem perder o fio da aula.,,,,,,,prevenção,base de sala,importada,,Gemini deep research / NotebookLM synthesis,Evita perder o controle enquanto ajuda um grupo,
D03,Manutencao do impulso (momentum),Kounin,Fluxo da aula,A aula comeca rapido e flui sem pausas desnecessarias ou busca de materiais.,,,,,,,prevenção,base de sala,importada,,Gemini deep research / NotebookLM synthesis,Reduz vácuos que viram bagunca,
D04,Suavidade nas transicoes (smoothness),Kounin,Transicoes,Mudancas de atividade acontecem de forma organica e sem gerar ociosidade.,,,,,,,prevenção,base de sala,importada,,Gemini deep research / NotebookLM synthesis,Usa sinais e contagens para transicao,
D05,Alerta de grupo (group alerting),Kounin,Participacao,A pergunta vai para o grupo inteiro antes de escolher um aluno.,,,,,,,prevenção,base de sala,importada,,Gemini deep research / NotebookLM synthesis,Mantem toda a turma em prontidao,
D06,Responsabilizacao de grupo,Kounin,Participacao,"Todos demonstram participação por resposta, quadro ou checagem rapida.",,,,,,,prevenção,base de sala,importada,,Gemini deep research / NotebookLM synthesis,Impede que parte da turma se esconda,
D07,Variedade e desafio,Kounin,Engajamento,A tarefa varia para evitar saciacao e tédio pedagógico.,,,,,,,prevenção,base de sala,importada,,Gemini deep research / NotebookLM synthesis,Mistura formatos e niveis de desafio,
D08,Efeito cascata (ripple effect),Kounin,Correção,A correção de um comportamento influencia o grupo inteiro.,,,,,,,prevenção,base de sala,importada,,Gemini deep research / NotebookLM synthesis,Disciplina como fenomeno social,
D09,Do Now / tarefa de entrada,Lemov,Inicio da aula,A aula comeca com tarefa curta e independente assim que o aluno entra.,,,,,,,rotina,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Cria norma de produtividade imediata,
D10,No Opt Out / sem saida,Lemov,Responsabilidade academica,"O aluno volta a responder corretamente, sem usar o erro como fuga.",,,,,,,correção,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Elimina evasao academica,
D11,Right is Right / certo e certo,Lemov,Rigor,A resposta parcial nao basta; o professor exige precisao conceitual.,,,,,,,correção,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Sinaliza seriedade intelectual,
D12,Cold Call / chamada aleatoria,Lemov,Participacao,A chamada aleatoria amplia prontidao e reduz a dependencia dos mesmos voluntarios.,,,,,,,participacao,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Todos precisam estar preparados,
D13,Circulacao proposital,Lemov,Proximidade,O professor circula com objetivo claro para verificar e intervir cedo.,,,,,,,prevenção,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,A proximidade diminui desvios leves,
D14,Check for Understanding,Lemov,Verificacao,"Antes de avançar, o professor mede o entendimento de todos.",,,,,,,diagnostico,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Reduz frustracao e caos por confusao,
D15,Tight Transitions,Lemov,Transicoes,Trocas entre atividades sao treinadas e cronometradas.,,,,,,,rotina,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Evita vazios onde surge a bagunca,
D16,Board = Paper,Lemov,Organizacao,O quadro mostra exatamente o que deve ir para o caderno.,,,,,,,organização,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Reduz carga cognitiva da tarefa,
D17,Call and Response,Lemov,Energia coletiva,Respostas corais criam ritmo e coesao na sala.,,,,,,,participacao,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Verifica participação de uma vez,
D18,Everybody Writes,Lemov,Processamento,Todos escrevem antes de falar; isso democratiza o pensamento.,,,,,,,participacao,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Evita dominancia dos mesmos alunos,
D19,Padronizacao de formato,Lemov,Rotina,O professor define o modo padrao de entregar e anotar.,,,,,,,rotina,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Corta perguntas logisticas repetidas,
D20,Solo Silent / silencio produtivo,Lemov,Trabalho individual,Periodos claros de silencio ajudam foco e metacognicao.,,,,,,,rotina,autoria docente,importada,,Gemini deep research / NotebookLM synthesis,Silencio como norma de pensamento,
D21,Inquerito de interesses,EMR,Vinculo,O professor conhece interesses pessoais dos alunos e usa isso na aula.,,,,,,,vinculo,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,Reduz resistencia a autoridade,
