slot_id,tip_texto,tema,subtema,dor_associada,novidade_0a10,impacto_0a10,evidencia_0a10,conforto_publico_0a10,risco_cliche_0a10,score_total,prioridade,uso_ideal,status,fonte_ids,fonte_principal,trecho_prova,observacoes
D01,,,,,,,,,,,,,aguardando_importacao,,,,
D02,,,,,,,,,,,,,aguardando_importacao,,,,
D03,,,,,,,,,,,,,aguardando_importacao,,,,
D04,,,,,,,,,,,,,aguardando_importacao,,,,
D05,,,,,,,,,,,,,aguardando_importacao,,,,
D06,,,,,,,,,,,,,aguardando_importacao,,,,
D07,,,,,,,,,,,,,aguardando_importacao,,,,
D08,,,,,,,,,,,,,aguardando_importacao,,,,
D09,,,,,,,,,,,,,aguardando_importacao,,,,
D10,,,,,,,,,,,,,aguardando_importacao,,,,
D11,,,,,,,,,,,,,aguardando_importacao,,,,
D12,,,,,,,,,,,,,aguardando_importacao,,,,
D13,,,,,,,,,,,,,aguardando_importacao,,,,
D14,,,,,,,,,,,,,aguardando_importacao,,,,
D15,,,,,,,,,,,,,aguardando_importacao,,,,
D16,,,,,,,,,,,,,aguardando_importacao,,,,
D17,,,,,,,,,,,,,aguardando_importacao,,,,
D18,,,,,,,,,,,,,aguardando_importacao,,,,
D19,,,,,,,,,,,,,aguardando_importacao,,,,
D20,,,,,,,,,,,,,aguardando_importacao,,,,
D21,,,,,,,,,,,,,aguardando_importacao,,,,
D22,,,,,,,,,,,,,aguardando_importacao,,,,
D23,,,,,,,,,,,,,aguardando_importacao,,,,
D24,,,,,,,,,,,,,aguardando_importacao,,,,
D25,,,,,,,,,,,,,aguardando_importacao,,,,
D26,,,,,,,,,,,,,aguardando_importacao,,,,
D27,,,,,,,,,,,,,aguardando_importacao,,,,
D28,,,,,,,,,,,,,aguardando_importacao,,,,
D29,,,,,,,,,,,,,aguardando_importacao,,,,
D30,,,,,,,,,,,,,aguardando_importacao,,,,
D31,,,,,,,,,,,,,aguardando_importacao,,,,
D32,,,,,,,,,,,,,aguardando_importacao,,,,
D33,,,,,,,,,,,,,aguardando_importacao,,,,
D34,,,,,,,,,,,,,aguardando_importacao,,,,
D35,,,,,,,,,,,,,aguardando_importacao,,,,
D36,,,,,,,,,,,,,aguardando_importacao,,,,
D37,,,,,,,,,,,,,aguardando_importacao,,,,
D38,,,,,,,,,,,,,aguardando_importacao,,,,
D39,,,,,,,,,,,,,aguardando_importacao,,,,
D40,,,,,,,,,,,,,aguardando_importacao,,,,
D41,,,,,,,,,,,,,aguardando_importacao,,,,
D42,,,,,,,,,,,,,aguardando_importacao,,,,
D43,,,,,,,,,,,,,aguardando_importacao,,,,
D44,,,,,,,,,,,,,aguardando_importacao,,,,
D45,,,,,,,,,,,,,aguardando_importacao,,,,
D46,,,,,,,,,,,,,aguardando_importacao,,,,
D47,,,,,,,,,,,,,aguardando_importacao,,,,
D48,,,,,,,,,,,,,aguardando_importacao,,,,
D49,,,,,,,,,,,,,aguardando_importacao,,,,
D50,,,,,,,,,,,,,aguardando_importacao,,,,
D51,,,,,,,,,,,,,aguardando_importacao,,,,
D52,,,,,,,,,,,,,aguardando_importacao,,,,
D53,,,,,,,,,,,,,aguardando_importacao,,,,
D54,,,,,,,,,,,,,aguardando_importacao,,,,
D55,,,,,,,,,,,,,aguardando_importacao,,,,
D56,,,,,,,,,,,,,aguardando_importacao,,,,
D57,,,,,,,,,,,,,aguardando_importacao,,,,
D58,,,,,,,,,,,,,aguardando_importacao,,,,
D59,,,,,,,,,,,,,aguardando_importacao,,,,
D60,,,,,,,,,,,,,aguardando_importacao,,,,
